name_of_city,state_code,state_name,dist_code,population_total,population_male,population_female,0-6_population_total,0-6_population_male,0-6_population_female,literates_total,literates_male,literates_female,sex_ratio,child_sex_ratio,effective_literacy_rate_total,effective_literacy_rate_male,effective_literacy_rate_female,location,total_graduates,male_graduates,female_graduates,checkin_acc,duration,credit_history,amount,savings_acc,present_emp_since,inst_rate,personal_status,residing_since,age,inst_plans,num_credits,job,status,year,region,npg,birth_rate,death_rate,migratory_growth,population
Bhiwandi ,27,MAHARASHTRA,21,711329,418478,292851,88613,45820,42793,507722,314906,192816,700,934,81.53,84.5,77.11,"19.2812547,73.0482912",24688,14404,10284,A11,12,A30,1108,A61,A74,4,A93,3,28,A143,2,A173,1,1991,Astrakhan Oblast,2.8,13.9,11.1,,1001044
Bhiwani ,6,HARYANA,13,197662,105372,92290,22507,12444,10063,147807,84028,63779,876,809,84.39,90.42,77.56,"28.7751693,75.9927652",28123,17068,11055,A14,12,A34,618,A61,A75,4,A93,4,56,A143,1,A173,0,1991,Republic of Bashkortostan,4.7,14.7,10,,3962282
Bhopal ,23,MADHYA PRADESH,27,1795648,939560,856088,206967,107945,99022,1354219,741737,612482,911,917,85.24,89.19,80.9,"23.2599333,77.412615",282813,155418,127395,A11,12,A34,1409,A61,A75,4,A93,3,54,A143,1,A173,0,1991,Belgorod Oblast,-1.8,11.5,13.3,,1397986
Bhubaneswar Town ,21,ORISSA,17,837737,445233,392504,75237,39567,35670,710243,388164,322079,882,902,93.15,95.69,90.26,"20.2960587,85.8245398",200788,121563,79225,A14,12,A34,797,A65,A75,4,A92,3,33,A141,1,A172,1,1991,Bryansk Oblast,-1.1,12,13.1,,1457987
Bhuj ,24,GUJARAT,1,147123,77900,69223,15894,8365,7529,114822,64172,50650,889,900,87.5,92.29,82.1,"23.2419997,69.6669324",16457,9536,6921,A13,24,A34,3617,A65,A75,4,A93,4,20,A143,2,A173,0,1991,Republic of Buryatia,6.7,16,9.3,,1052038
Bhusawal ,27,MAHARASHTRA,3,187750,96655,91095,19440,10496,8944,152103,81544,70559,942,852,90.37,94.64,85.89,"21.0455204,75.8010962",19815,11257,8558,A12,12,A32,1318,A64,A75,4,A93,4,54,A143,1,A173,0,1991,Vladimir Oblast,-2.2,10.3,12.5,,1654489
Bid ,27,MAHARASHTRA,27,146237,75655,70582,19580,10626,8954,112171,61135,51036,933,843,88.56,94.01,82.81,"18.9890893,75.7600785",19030,12252,6778,A12,54,A30,15945,A61,A72,3,A93,4,58,A143,1,A173,1,1991,Volgograd Oblast,0.3,11.9,11.6,,2641862
Bidar ,29,KARNATAKA,4,211944,109435,102509,25077,13103,11974,163781,89472,74309,937,914,87.65,92.88,82.08,"17.9148799,77.5046101",25910,16824,9086,A14,12,A34,2012,A65,A74,4,A92,2,61,A143,1,A173,0,1991,Vologda Oblast,-0.1,11.9,12,,1353799
Bidhan Nagar ,19,WEST BENGAL,11,218323,111363,106960,12786,6500,6286,185885,97604,88281,960,967,90.44,93.08,87.69,"22.5867296,88.4170988",65863,35756,30107,A12,18,A32,2622,A62,A73,4,A93,4,34,A143,1,A173,0,1991,Voronezh Oblast,-3.7,10.5,14.2,,2469031
Biharsharif ,10,BIHAR,27,296889,154915,141974,43646,22758,20888,189420,110247,79173,916,918,74.8,83.42,65.39,"25.1982147,85.5148735",28092,20487,7605,A12,36,A34,2337,A61,A75,4,A93,4,36,A143,1,A173,0,1991,Republic of Dagestan,18.6,24.9,6.3,,1875345
Bijapur ,29,KARNATAKA,3,326360,165122,161238,39134,20482,18652,239631,128615,111016,976,911,83.43,88.92,77.86,"16.8301708,75.710031",37265,24355,12910,A12,20,A33,7057,A65,A74,3,A93,4,36,A141,2,A174,0,1991,Jewish Autonomous Oblast,6.2,16,9.8,,219458
Bikaner ,8,RAJASTHAN,3,647804,340894,306910,82264,43280,38984,451663,259367,192296,900,901,79.86,87.15,71.77,"28.0229348,73.3119159",73369,44965,28404,A14,24,A32,1469,A62,A75,4,A94,4,41,A143,1,A172,0,1991,Zabaykalsky Krai,6.7,16,9.3,,1317948
Bilaspur ,22,CHHATTISGARH,7,330106,169738,160368,36448,19167,17281,260654,141169,119485,945,902,88.76,93.76,83.51,"22.0796251,82.1391412",67396,38607,28789,A12,36,A32,2323,A61,A74,4,A93,4,24,A143,1,A173,0,1991,Ivanovo Oblast,-4.2,10.2,14.4,,1292642
Bokaro Steel City ,20,JHARKHAND,10,413934,220088,193846,48834,26058,22776,310127,179188,130939,881,874,84.94,92.35,76.54,"23.6692956,86.151112",61034,39496,21538,A14,6,A33,932,A61,A73,3,A92,2,24,A143,1,A173,0,1991,Republic of Ingushetia,,,,,192642
Bongaon ,19,WEST BENGAL,11,110668,56416,54252,8452,4387,4065,92253,48799,43454,962,927,90.25,93.79,86.58,"23.0440381,88.827703",10286,6684,3602,A12,9,A34,1919,A61,A74,4,A93,3,35,A143,1,A173,0,1991,Irkutsk Oblast,4.4,14.7,10.3,,2797005
Botad ,24,GUJARAT,14,130302,67778,62524,16654,8889,7765,94563,53275,41288,922,874,83.21,90.47,75.4,"22.1704232,71.6684269",4578,2997,1581,A14,12,A32,2445,A65,A72,2,A94,4,26,A143,1,A173,0,1991,Kabardino-Balkar Republic,10.1,19,8.9,,780768
Brahmapur Town ,21,ORISSA,19,355823,185584,170239,29509,15544,13965,293818,159550,134268,917,898,90.04,93.83,85.92,"19.3149618,84.7940911",50782,32587,18195,A12,24,A34,11938,A61,A73,2,A93,3,39,A143,2,A174,1,1991,Kaliningrad Oblast,1.8,11.7,9.9,,890627
Budaun ,9,UTTAR PRADESH,18,159221,83475,75746,19613,10420,9193,101914,56012,45902,907,882,73,76.67,68.97,"28.0337088,79.1205419",19204,10705,8499,A14,18,A31,6458,A61,A75,2,A93,4,39,A141,2,A174,1,1991,Republic of Kalmykia,11.1,19.5,8.4,,327956
Bulandshahr ,9,UTTAR PRADESH,11,222826,116923,105903,28936,15892,13044,153135,86408,66727,906,821,78.98,85.53,71.86,"28.406963,77.8498292",32546,18503,14043,A12,12,A32,6078,A61,A74,2,A93,2,32,A143,1,A173,0,1991,Kaluga Oblast,-1.8,10.6,12.4,,1073948
Bundi ,8,RAJASTHAN,23,102823,53299,49524,12047,6419,5628,75482,42642,32840,929,877,83.15,90.96,74.81,"25.4305144,75.6499025",13148,8081,5067,A11,24,A32,7721,A65,A72,1,A92,2,30,A143,1,A173,0,1991,Kamchatka Krai,5.2,11.3,6.1,,478541
Burari ,7,NCT OF DELHI,2,145584,77767,67817,18134,9809,8325,113188,64125,49063,872,849,88.81,94.36,82.47,"28.7535212,77.1948241",17914,11136,6778,A12,14,A32,1410,A63,A75,1,A94,2,35,A143,1,A173,0,1991,Karachay-Cherkess Republic,8,16.7,8.7,,424842
Burhanpur ,23,MADHYA PRADESH,50,210891,108234,102657,28107,14628,13479,149339,80909,68430,948,921,81.7,86.44,76.73,"21.3193875,76.2224273",15203,9325,5878,A12,6,A33,1449,A62,A75,1,A91,2,31,A141,2,A173,0,1991,Republic of Karelia,0.9,11.4,10.5,,791459
Buxar ,10,BIHAR,30,102591,54123,48468,13639,7260,6379,75752,42601,33151,896,879,85.16,90.91,78.76,"25.4987785,84.1435136",12464,8920,3544,A13,15,A32,392,A61,A72,4,A92,4,23,A143,1,A173,0,1991,Kemerovo Oblast,0.2,11.8,11.6,,3100688
Champdani ,19,WEST BENGAL,12,110983,59296,51687,11604,6017,5587,81883,46888,34995,872,929,82.39,88,75.91,"22.8049456,88.3409338",7167,4654,2513,A12,18,A32,6260,A61,A74,3,A93,3,28,A143,1,A172,0,1991,Kirov Oblast,-1,11.5,12.5,,1648962
Chandannagar ,19,WEST BENGAL,12,166949,84257,82692,10716,5514,5202,141572,73393,68179,981,943,90.62,93.21,87.98,"22.8647723,88.36326",30933,17942,12991,A14,36,A34,7855,A61,A73,4,A92,2,25,A142,2,A173,1,1991,Kostroma Oblast,-2.6,11.3,13.9,,804405
Chandausi ,9,UTTAR PRADESH,4,114254,60238,54016,14417,7730,6687,72515,40323,32192,897,865,72.63,76.79,68.02,"28.4480507,78.7796105",15436,8436,7000,A11,12,A32,1680,A63,A75,3,A94,1,35,A143,1,A173,0,1991,Krasnodar Krai,-1.2,12.5,13.7,,4690810
Chandigarh ,4,CHANDIGARH,1,960787,525226,435561,104192,56020,48172,743254,426071,317183,829,860,86.77,90.81,81.88,"30.7333148,76.7794179",189312,101491,87821,A14,48,A34,3578,A65,A75,4,A93,1,47,A143,1,A173,0,1991,Krasnoyarsk Krai,3.1,12.5,9.4,,3163370
Chandrapur ,27,MAHARASHTRA,13,321036,165125,155911,30353,15921,14432,263962,142528,121434,944,906,90.81,95.53,85.83,"19.9704597,79.3014845",37686,21317,16369,A11,42,A32,7174,A65,A74,4,A92,3,30,A143,1,A174,1,1991,Republic of Crimea,,,,,
Chapra ,10,BIHAR,17,201597,106250,95347,27668,14516,13152,141403,78956,62447,897,906,81.3,86.07,75.97,"25.7795649,84.7498886",22852,15710,7142,A11,10,A34,2132,A65,A72,2,A92,3,27,A143,2,A173,0,1991,Kurgan Oblast,1.4,13.2,11.8,,1105017
Chas ,20,JHARKHAND,10,141618,75027,66591,17774,9423,8351,105417,60459,44958,888,886,85.12,92.16,77.19,"23.6388375,86.1700894",15277,10431,4846,A11,33,A34,4281,A63,A73,1,A92,4,23,A143,2,A173,1,1991,Kursk Oblast,-4.2,10.6,14.8,,1328929
Chennai ,33,TAMIL NADU,2,4681087,2357633,2323454,418541,213084,205457,3850472,2004498,1845974,986,964,90.33,93.47,87.16,"13.0826802,80.2707184",879695,487428,392267,A12,12,A34,2366,A63,A74,3,A91,3,36,A143,1,A174,0,1991,Leningrad Oblast,-2.8,9.8,12.6,,1675188
Chhattarpur ,23,MADHYA PRADESH,8,133626,70586,63040,16381,8811,7570,99154,55244,43910,893,859,84.57,89.43,79.16,"24.728683,79.560344",20807,12484,8323,A11,21,A32,1835,A61,A73,3,A92,2,25,A143,2,A173,1,1991,Lipetsk Oblast,-2.4,10.8,13.2,,1233419
Chhindwara ,23,MADHYA PRADESH,38,138266,70444,67822,13745,7062,6683,112532,59892,52640,963,946,90.37,94.49,86.1,"22.057437,78.9381729",28233,16058,12175,A14,24,A34,3868,A61,A75,4,A92,2,41,A143,2,A174,0,1991,Magadan Oblast,6.3,12.1,5.8,,384525
Chikmagalur ,29,KARNATAKA,16,118496,58859,59637,10931,5599,5332,96586,49742,46844,1013,952,89.79,93.39,86.26,"13.315258,75.7754018",13204,7441,5763,A14,12,A32,1768,A61,A73,3,A93,2,24,A143,1,A172,0,1991,Mari El Republic,3.7,14,10.3,,755359
Chilakaluripet ,28,ANDHRA PRADESH,17,101550,50201,51349,9525,4916,4609,66336,36472,29864,1023,938,72.08,80.54,63.89,"16.0924301,80.1623948",9526,6302,3224,A13,10,A34,781,A61,A75,4,A93,4,63,A143,2,A173,0,1991,Republic of Mordovia,0.5,12,11.5,,962340
Chitradurga ,29,KARNATAKA,12,139914,70304,69610,14282,7349,6933,111514,58257,53257,990,943,88.76,92.54,84.97,"14.2305594,76.3984537",16857,10213,6644,A12,18,A32,1924,A65,A72,4,A92,3,27,A143,1,A173,1,1991,Moscow,-3.7,9.1,12.8,,9017415
Chittaurgarh ,8,RAJASTHAN,28,116409,60229,56180,14067,7473,6594,86945,48624,38321,933,882,84.96,92.17,77.28,"24.8887435,74.6269216",16833,9875,6958,A11,12,A34,2121,A61,A73,4,A93,2,30,A143,2,A173,0,1991,Moscow Oblast,-3.5,8.9,12.4,,6720248
Chittoor ,28,ANDHRA PRADESH,23,153766,76566,77200,13569,7112,6457,121094,63681,57413,1008,908,86.37,91.69,81.16,"13.2218054,79.1010442",21345,12973,8372,A11,12,A32,701,A61,A73,4,A94,2,40,A143,1,A172,0,1991,Murmansk Oblast,3.8,9.8,6,,1188785
Churu ,8,RAJASTHAN,4,119846,61771,58075,16334,8513,7821,77751,46055,31696,940,919,75.11,86.48,63.07,"28.3174965,74.9851678",8756,5873,2883,A12,12,A32,639,A61,A73,4,A93,2,30,A143,1,A173,1,1991,Nenets Autonomous Okrug,9.3,16.7,7.4,,51667
Coimbatore ,33,TAMIL NADU,31,1061447,531017,530430,96261,49040,47221,885471,457982,427489,999,963,91.74,95.02,88.47,"11.0168445,76.9558321",168145,87123,81022,A12,12,A34,1860,A61,A71,4,A93,2,34,A143,2,A174,0,1991,Nizhny Novgorod Oblast,-2.8,9.9,12.7,,3773185
Cuddalore ,33,TAMIL NADU,16,173361,85593,87768,15940,8153,7787,139388,72083,67305,1025,955,88.54,93.08,84.15,"11.744699,79.7680243",21572,12022,9550,A11,12,A34,3499,A61,A73,3,A92,2,29,A143,2,A173,1,1991,Novgorod Oblast,-3.7,10.9,14.6,,751908
Cuttack ,21,ORISSA,12,606007,303530,302477,48585,25358,23227,508188,272257,235931,997,916,91.17,97.87,84.49,"20.462521,85.8829895",110147,66347,43800,A12,48,A32,8487,A65,A74,1,A92,2,24,A143,1,A173,0,1991,Novosibirsk Oblast,1.2,12.1,10.9,,2744809
Dabgram ,19,WEST BENGAL,2,118464,60708,57756,14472,7427,7045,76930,42781,34149,951,949,73.98,80.29,67.34,"26.6954603,88.4415998",2532,1703,829,A11,36,A33,6887,A61,A73,4,A93,3,29,A142,1,A173,1,1991,Omsk Oblast,3.9,13.8,9.9,,2161266
Dallo Pura ,7,NCT OF DELHI,4,154955,81425,73530,18832,9961,8871,111514,62799,48715,903,891,81.92,87.88,75.34,"28.6004677,77.319462",17134,9918,7216,A14,15,A32,2708,A61,A72,2,A93,3,27,A141,2,A172,0,1991,Orenburg Oblast,3.5,13.9,10.4,,2159743
Damoh ,23,MADHYA PRADESH,11,124979,65133,59846,14712,7682,7030,96043,53052,42991,919,915,87.1,92.34,81.4,"23.8380986,79.4421731",16544,9740,6804,A14,18,A32,1984,A61,A73,4,A93,4,47,A141,2,A173,0,1991,Oryol Oblast,-2.4,11,13.4,,898256
Darbhanga ,10,BIHAR,13,294116,154970,139146,40392,21202,19190,205203,115620,89583,898,905,80.88,86.43,74.68,"26.111868,85.896004",38605,26731,11874,A14,60,A32,10144,A62,A74,2,A92,4,21,A143,1,A173,0,1991,Penza Oblast,-0.9,10.9,11.8,,1547825
Darjiling ,19,WEST BENGAL,1,120414,60114,60300,6547,3440,3107,107242,54710,52532,1003,903,94.18,96.53,91.85,"27.0360066,88.2626751",16319,8829,7490,A14,12,A34,1240,A65,A75,4,A92,2,38,A143,2,A173,0,1991,Perm Krai,0.9,12.3,11.4,,3022108
Datia ,23,MADHYA PRADESH,5,100466,52931,47535,12218,6553,5665,71071,40482,30589,898,864,80.54,87.29,73.06,"25.6653262,78.4609393",12717,7960,4757,A14,27,A33,8613,A64,A73,2,A93,2,27,A143,2,A173,0,1991,Primorsky Krai,3.2,12.9,9.7,,2309701
Davanagere ,29,KARNATAKA,13,435128,220544,214584,44545,22888,21657,331551,175747,155804,973,946,84.89,88.92,80.76,"14.4663438,75.9238397",40740,24921,15819,A12,12,A32,766,A63,A73,4,A93,3,66,A143,1,A172,1,1991,Pskov Oblast,-4.7,10.7,15.4,,842905
Deesa ,24,GUJARAT,2,111149,58724,52425,14192,7790,6402,78219,45479,32740,893,822,80.67,89.29,71.14,"24.2585031,72.1906721",5933,3946,1987,A12,15,A34,2728,A65,A74,4,A93,2,35,A141,3,A173,0,1991,Altai Republic,7.7,18.2,10.5,,195577
Dehradun ,5,UTTARAKHAND,5,578420,303411,275009,59180,31600,27580,463791,251832,211959,906,873,89.32,92.65,85.66,"30.3164945,78.0321918",136036,70607,65429,A13,12,A32,1881,A61,A73,2,A92,2,44,A143,1,A172,0,1991,Komi Republic,4.8,12.7,7.9,,1239885
Dehri ,10,BIHAR,32,137068,72311,64757,18372,9570,8802,98968,56416,42552,896,920,83.38,89.92,76.05,"24.9277351,84.1909841",14780,10297,4483,A13,6,A32,709,A64,A72,2,A94,2,27,A143,1,A171,0,1991,Tuva Republic,14.4,23.9,9.5,,304459
Delhi ,7,NCT OF DELHI,99,11007835,5871362,5136473,1209275,647938,561337,8583105,4776490,3806615,875,866,87.6,91.44,83.2,"28.7041,77.1025",2221137,1210040,1011097,A12,36,A32,4795,A61,A72,4,A92,1,30,A143,1,A174,0,1991,Rostov Oblast,-1,11.7,12.7,,4344528
Delhi Cantonment ,7,NCT OF DELHI,8,116352,67703,48649,13214,7258,5956,93971,57144,36827,719,821,91.11,94.54,86.26,"28.5961279,77.1587375",17317,9653,7664,A11,27,A32,3416,A61,A73,3,A93,2,27,A143,1,A174,0,1991,Ryazan Oblast,-3.6,10.3,13.9,,1350283
Deoghar ,20,JHARKHAND,5,203116,108243,94873,25929,13907,12022,153807,87540,66267,876,864,86.8,92.8,79.98,"24.4763201,86.6913222",27126,19215,7911,A11,18,A32,2462,A61,A73,2,A93,2,22,A143,1,A173,1,1991,Samara Oblast,-0.2,11,11.2,,3247267
Deoli ,7,NCT OF DELHI,9,169410,91173,78237,22526,12001,10525,123167,72062,51105,858,877,83.85,91.02,75.47,"28.4962152,77.2376414",13046,8694,4352,A14,21,A34,2288,A61,A72,4,A92,4,23,A143,1,A173,0,1991,Saint Petersburg,-3.3,9.3,12.6,,5007469
Deoria ,9,UTTAR PRADESH,59,129570,67754,61816,13821,7243,6578,102802,56719,46083,912,908,88.81,93.73,83.43,"26.4270039,83.804868",25206,15782,9424,A12,48,A31,3566,A62,A74,4,A93,2,30,A143,1,A173,0,1991,Saratov Oblast,0.2,12,11.8,,2705042
Dewas ,23,MADHYA PRADESH,20,289438,150193,139245,34435,18117,16318,218877,122388,96489,927,901,85.83,92.66,78.49,"22.9622672,76.0507949",29848,17581,12267,A11,6,A34,860,A61,A75,1,A92,4,39,A143,2,A173,0,1991,Sakhalin Oblast,3.5,12.2,8.7,,715333
Dhanbad ,20,JHARKHAND,9,1161561,615589,545972,146463,76767,69696,820008,473787,346221,887,908,80.78,87.93,72.69,"23.7956531,86.4303859",104768,69321,35447,A14,12,A34,682,A62,A74,4,A92,3,51,A143,2,A173,0,1991,Sverdlovsk Oblast,-0.7,10.7,11.4,,4766249
Dharmavaram ,28,ANDHRA PRADESH,22,121992,62186,59806,11963,6441,5522,79037,45025,34012,962,857,71.83,80.77,62.66,"14.4137447,77.7126189",7560,5236,2324,A11,36,A34,5371,A61,A73,3,A93,2,28,A143,2,A173,0,1991,Sevastopol,,,,,
Dhaulpur ,8,RAJASTHAN,8,126142,67740,58402,17199,9459,7740,83405,49087,34318,862,818,76.56,84.22,67.74,"26.7025181,77.893391",11782,7680,4102,A14,18,A34,1582,A64,A75,4,A93,4,46,A143,2,A173,0,1991,Republic of North Ossetia-Alania,6.3,16.2,9.9,,652114
Dhule ,27,MAHARASHTRA,2,376093,193854,182239,43677,23246,20431,298693,160511,138182,940,879,89.86,94.08,85.4,"20.9042201,74.7748979",38164,23320,14844,A14,6,A32,1346,A62,A75,2,A93,4,42,A141,1,A173,0,1991,Smolensk Oblast,-3,10.7,13.7,,1157671
Dibrugarh ,18,ASSAM,11,138661,72044,66617,11862,6114,5748,113822,60782,53040,925,940,89.77,92.19,87.14,"27.4728327,94.9119621",20878,12225,8653,A14,10,A32,1924,A61,A73,1,A93,4,38,A143,1,A173,0,1991,Stavropol Krai,2.1,13.8,11.7,,2477730
Dimapur ,13,NAGALAND,5,123777,65017,58760,14438,7345,7093,95646,51604,44042,904,966,87.48,89.48,85.24,"25.8629885,93.7536663",12902,7442,5460,A13,36,A32,5848,A61,A73,4,A93,1,24,A143,1,A173,0,1991,Tambov Oblast,-4.6,10.6,15.2,,1312283
Dinapur Nizamat ,10,BIHAR,28,182241,97129,85112,25092,13398,11694,123199,70786,52413,876,873,78.4,84.54,71.39,"25.6328264,85.0597137",19777,13707,6070,A12,24,A34,7758,A64,A75,2,A92,4,29,A143,1,A173,0,1991,Republic of Tatarstan,3.5,13.6,10.1,,3675425
Dindigul ,33,TAMIL NADU,11,207225,102927,104298,18230,9301,8929,171130,88360,82770,1013,960,90.55,94.38,86.79,"10.3673123,77.9802906",23327,12660,10667,A12,24,A33,6967,A62,A74,4,A93,4,36,A143,1,A174,0,1991,Tver Oblast,-4.7,10.2,14.9,,1662810
Dum Dum ,19,WEST BENGAL,11,117637,61039,56598,6678,3484,3194,103757,54153,49604,927,917,93.51,94.09,92.88,"22.6470514,88.431683",25287,14288,10999,A11,12,A32,1282,A61,A73,2,A92,4,20,A143,1,A173,1,1991,Tomsk Oblast,2,10.9,8.9,,1078142
Durg ,22,CHHATTISGARH,10,268679,136537,132142,29165,15044,14121,210639,113866,96773,968,939,87.94,93.72,82,"21.1904494,81.2849169",38428,21409,17019,A11,9,A34,1288,A62,A75,3,A93,4,48,A143,2,A173,0,1991,Tula Oblast,-5.4,9,14.4,,1849299
Durgapur ,19,WEST BENGAL,9,566937,294349,272588,50512,25959,24553,453604,247176,206428,926,946,87.84,92.1,83.23,"23.5204443,87.3119227",80060,47809,32251,A11,12,A31,339,A61,A75,4,A94,1,45,A141,1,A172,0,1991,Tyumen Oblast,7.2,14,6.8,,1401243
Eluru ,28,ANDHRA PRADESH,15,214414,105707,108707,18125,9048,9077,145516,74521,70995,1028,1003,74.13,77.1,71.26,"16.7106604,81.0952431",23523,14252,9271,A12,24,A32,3512,A62,A74,2,A93,3,38,A141,2,A173,0,1991,Udmurt Republic,3.8,13.7,9.9,,1616684
English Bazar ,19,WEST BENGAL,6,216083,115126,100957,33211,18647,14564,154875,82428,72447,877,781,84.69,85.44,83.86,"25.0108408,88.1410967",28983,17393,11590,A14,6,A34,1898,A65,A73,1,A93,2,34,A143,2,A172,0,1991,Ulyanovsk Oblast,1.2,12.5,11.3,,1421291
Erode ,33,TAMIL NADU,9,156953,78094,78859,13675,6935,6740,126638,66307,60331,1010,972,88.39,93.18,83.65,"11.3410364,77.7171642",19615,11114,8501,A14,24,A34,2872,A62,A75,3,A93,4,36,A143,1,A173,0,1991,Khabarovsk Krai,3.8,13.1,9.3,,1624704
Etah ,9,UTTAR PRADESH,70,118632,62966,55666,14164,7653,6511,90289,50001,40288,884,851,86.43,90.4,81.96,"27.5587505,78.662567",21588,13031,8557,A14,18,A34,1055,A61,A72,4,A92,1,30,A143,2,A173,0,1991,Republic of Khakassia,3.4,14.2,10.8,,572444
Etawah ,9,UTTAR PRADESH,30,256790,135829,120961,28922,15521,13401,188887,104612,84275,891,863,82.89,86.95,78.35,"26.8458148,79.1096901",38404,22962,15442,A14,15,A32,1262,A63,A74,4,A93,3,36,A143,2,A173,0,1991,Khanty–Mansi Autonomous Okrug – Yugra,10.3,14.9,4.6,,1280139
Faizabad ,9,UTTAR PRADESH,46,167544,87279,80265,16479,8658,7821,130700,70243,60457,920,903,86.52,89.34,83.45,"26.7732476,82.1441643",30658,17077,13581,A12,10,A32,7308,A61,A71,2,A93,4,70,A141,1,A174,0,1991,Chelyabinsk Oblast,1.2,11.7,10.5,,3706378
Faridabad ,6,HARYANA,20,1404653,750446,654207,176773,95808,80965,1042168,592024,450144,872,845,84.88,90.44,78.53,"28.4089123,77.3177894",219974,123138,96836,A14,36,A32,909,A63,A75,4,A93,4,36,A143,1,A173,0,1991,Chechen Republic,14.6,22.6,8,,1171514
Farrukhabad-cum-Fatehgarh ,9,UTTAR PRADESH,28,275754,145515,130239,32342,17340,15002,182356,101282,81074,895,865,74.92,79.02,70.35,"27.3826126,79.5940544",31160,18099,13061,A14,6,A32,2978,A63,A73,1,A93,2,32,A143,1,A173,0,1991,Chuvash Republic,4.2,14.2,10,,1339822
Fatehpur ,9,UTTAR PRADESH,41,193801,101620,92181,22078,11850,10228,133418,74561,58857,907,863,77.69,83.06,71.82,"25.8499808,80.8986502",25076,15061,10015,A11,18,A32,1131,A61,A71,4,A92,2,33,A143,1,A173,1,1991,Chukotka Autonomous Okrug,8.4,12.5,4.1,,158056
Firozabad ,9,UTTAR PRADESH,16,603797,321624,282173,82439,43543,38896,365347,208434,156913,877,893,70.08,74.95,64.5,"27.1591006,78.3957574",36145,21265,14880,A12,11,A32,1577,A64,A72,4,A92,1,20,A143,1,A173,0,1991,Sakha (Yakutia) Republic,11,17.8,6.8,,1118983
Firozpur ,3,PUNJAB,9,110091,58401,51690,11516,6262,5254,78615,43468,35147,885,839,79.75,83.37,75.69,"30.9331348,74.6224755",14939,7455,7484,A14,24,A32,3972,A61,A74,2,A92,4,25,A143,1,A173,0,1991,Yamalo-Nenets Autonomous Okrug,11.3,14.7,3.4,,488577
Gadag-Betigeri ,29,KARNATAKA,7,172813,86165,86648,18419,9519,8900,132094,70035,62059,1006,935,85.56,91.37,79.82,"15.4324651,75.6380337",15926,9941,5985,A12,24,A34,1935,A61,A75,4,A91,4,31,A143,2,A173,1,1991,Yaroslavl Oblast,-3.7,9.7,13.4,,1473837
Gandhidham ,24,GUJARAT,1,248705,132388,116317,31224,16352,14872,181253,104073,77180,879,909,83.34,89.69,76.08,"23.075297,70.133673",24431,14049,10382,A11,15,A30,950,A61,A75,4,A93,3,33,A143,2,A173,1,1992,Republic of Adygea,-1.5,12,13.5,,441280
Gandhinagar ,24,GUJARAT,6,208299,109479,98820,18851,10423,8428,177510,95640,81870,903,809,93.7,96.55,90.57,"23.2156354,72.6369415",52343,31129,21214,A14,12,A32,763,A61,A73,4,A92,1,26,A143,1,A173,0,1992,Altai Krai,-1.4,10.4,11.8,,2664886
Ganganagar ,8,RAJASTHAN,1,224773,120929,103844,24768,13651,11117,166449,95374,71075,859,814,83.22,88.9,76.65,"29.9038399,73.8771901",34347,19007,15340,A12,24,A33,2064,A61,A71,3,A92,2,34,A143,1,A174,1,1992,Amur Oblast,2.3,12.4,10.1,,1048649
Gangapur City ,8,RAJASTHAN,10,119045,62910,56135,16098,8693,7405,82132,49231,32901,892,852,79.78,90.8,67.52,"26.4846537,76.7278803",9850,6727,3123,A12,8,A32,1414,A61,A73,4,A93,2,33,A143,1,A173,0,1992,Arkhangelsk Oblast,-1.3,10.4,11.7,,1504339
Gangawati ,29,KARNATAKA,6,105354,52678,52676,13122,6709,6413,70630,39027,31603,1000,956,76.58,84.9,68.31,"15.431874,76.5314817",6927,4549,2378,A11,21,A33,3414,A61,A72,2,A93,1,26,A143,2,A173,1,1992,Astrakhan Oblast,0.9,12.1,11.2,,1003253
Gaya ,10,BIHAR,34,463454,245764,217690,59015,30966,28049,346747,194377,152370,886,906,85.74,90.49,80.35,"24.7954523,84.999431",56679,38831,17848,A14,30,A31,7485,A65,A71,4,A92,1,53,A141,1,A174,1,1992,Republic of Bashkortostan,2.4,13.3,10.9,,3987884
Ghazipur ,9,UTTAR PRADESH,64,110698,58126,52572,12689,6773,5916,83755,46530,37225,904,873,85.46,90.61,79.79,"25.5840419,83.5770202",18840,11418,7422,A11,12,A32,2577,A61,A73,2,A91,1,42,A143,1,A173,0,1992,Belgorod Oblast,-3.2,10.5,13.7,,1404959
Giridih ,20,JHARKHAND,4,114447,59924,54523,15446,8149,7297,84897,46689,38208,910,895,85.75,90.18,80.9,"24.2841482,86.0937312",15112,10138,4974,A11,6,A34,338,A63,A75,4,A93,4,52,A143,2,A173,0,1992,Bryansk Oblast,-2.5,11.2,13.7,,1456025
Godhra ,24,GUJARAT,17,143126,73868,69258,17364,9045,8319,111571,60797,50774,938,920,88.72,93.79,83.32,"22.7788044,73.6142795",12053,7571,4482,A14,12,A32,1963,A61,A74,4,A93,2,31,A143,2,A174,0,1992,Republic of Buryatia,3.4,13.3,9.9,,1052030
Gokal Pur ,7,NCT OF DELHI,3,121938,64935,57003,15299,8282,7017,90904,51785,39119,878,847,85.24,91.41,78.26,"28.703423,77.2840105",15993,9445,6548,A11,21,A34,571,A61,A75,4,A93,4,65,A143,2,A173,0,1992,Vladimir Oblast,-4.3,9.1,13.4,,1647701
